question,answer,ground_truth,faithfulness,answer_relevance,context_precision
Apa syarat pembuatan KTP-el baru bagi pemula yang berusia 17 tahun?,"Selamat datang di Dukcapil DKI Jakarta. Saya senang membantu Anda dengan informasi yang akurat.

Untuk pembuatan KTP-el baru bagi pemula yang berusia 17 tahun, syarat yang harus dipenuhi adalah:

1. Fotokopi Kartu Keluarga (KK)

Silakan mengunjungi Service Poin Dukcapil Kelurahan atau menggunakan layanan Online Alpukat Betawi untuk memproses permohonan pembuatan KTP-el baru.",Fotokopi Kartu Keluarga (KK).,0.5,0.8,0.2
Apa syarat penerbitan KTP-el baru bagi pemula di bawah 17 tahun yang sudah menikah?,"Berdasarkan informasi yang tersedia, syarat penerbitan KTP-el baru bagi pemula di bawah 17 tahun yang sudah menikah adalah sebagai berikut:

1. KK asli
2. Fotokopi Surat Nikah/Akta Perkawinan

Silakan menghubungi Dukcapil DKI Jakarta untuk memastikan bahwa informasi ini masih relevan dan akurat.",KK asli dan fotokopi Surat Nikah/Akta Perkawinan.,1.0,1.0,0.8
Berapa tarif atau biaya untuk pengurusan pindah datang dan pembuatan KTP-el?,"Selamat datang di Dukcapil DKI Jakarta. Saya senang membantu Anda dengan informasi tentang tarif atau biaya pengurusan pindah datang dan pembuatan KTP-el.

Menurut informasi yang saya dapatkan, tarif atau biaya untuk pengurusan pindah datang dan pembuatan KTP-el adalah GRATIS. Ya, Anda tidak perlu membayar biaya apapun untuk proses ini.

Namun, perlu diingat bahwa Anda harus melengkapi syarat-syarat yang diperlukan, seperti Surat Keterangan Pindah dari daerah asal, Biodata Penduduk, Surat Pernyataan Jaminan Tempat Tinggal, dan lain-lain, seperti yang telah dijelaskan pada Context Dokumen.

Jika Anda memiliki pertanyaan lain atau memerlukan informasi lebih lanjut, silakan bertanya. Saya akan senang membantu Anda.",Gratis atau tidak dipungut biaya.,1.0,1.0,0.8
Apa saja syarat pelaporan pencatatan perubahan akta pencatatan sipil?,"Selamat datang di layanan Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat pelaporan pencatatan perubahan akta pencatatan sipil.

Berdasarkan informasi yang tersedia, syarat pelaporan pencatatan perubahan akta pencatatan sipil adalah sebagai berikut:

1. Fotokopi Penetapan Pengadilan Negeri yang telah dilegalisir
2. Kutipan Akta Asli
3. Fotokopi KTP & KK DKI Jakarta
4. Surat Pernyataan Bermeterai Pembaharuan Kutipan Akta
5. Surat Kuasa Bermeterai jika diwakilkan dan Fotokopi KTP yang diberi Kuasa

Permohonan daring dapat diajukan melalui alamat https://alpukat-dukcapil.jakarta.go.id/.","Fotokopi Penetapan Pengadilan Negeri yang telah dilegalisir, Kutipan Akta Asli, Fotokopi KTP & KK DKI Jakarta, Surat Pernyataan Bermeterai Pembaharuan Kutipan Akta, serta Surat Kuasa Bermeterai jika diwakilkan.",0.8,1.0,0.8
Apa syarat pengurusan surat keterangan belum kawin secara daring?,"Selamat datang di layanan Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat pengurusan surat keterangan belum kawin secara daring.

Berdasarkan informasi yang tersedia, syarat pengurusan surat keterangan belum kawin secara daring adalah sebagai berikut:

1. Fotokopi Kutipan Akta Kelahiran
2. Surat Keterangan dari Kelurahan (PM1)
3. Asli dan Fotokopi KK dan KTP
4. Surat Pernyataan Belum Pernah Menikah Bermeterai

Permohonan daring dapat diajukan melalui link https://s.id/skbm_dukcapiljkt. Pastikan Anda telah memenuhi semua syarat yang telah disebutkan di atas.

Jika Anda memiliki pertanyaan atau kebutuhan tambahan, silakan hubungi kami. Kami akan senang membantu Anda.","Fotokopi Kutipan Akta Kelahiran, Surat Keterangan dari Kelurahan (PM1), asli dan fotokopi KK dan KTP, serta Surat Pernyataan Belum Pernah Menikah Bermeterai.",1.0,1.0,1.0
Apa saja syarat dokumen untuk pelaporan perjanjian perkawinan?,"Selamat datang di Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat dokumen untuk pelaporan perjanjian perkawinan.

Dalam konteks dokumen yang disediakan, syarat dokumen untuk pelaporan perjanjian perkawinan adalah sebagai berikut:

- Fotokopi Akta Perkawinan Luar Negeri (terjemahan)
- Fotokopi Surat Keterangan Perkawinan dari KBRI / Surat Pengesahan dari Kemenlu / SPTJM

Silakan mengunjungi website kami untuk melihat informasi lebih lanjut tentang proses pelaporan dan syarat-syarat yang diperlukan. Anda dapat mengakses website kami melalui link berikut: https://s.id/laporln_dukcapiljkt

Jika Anda memiliki pertanyaan lain, silakan bertanya. Saya akan senang membantu.","Fotokopi KK & KTP DKI Jakarta suami & istri, fotokopi ITAP/ITAS dan Paspor bagi orang asing, asli dan fotokopi Kutipan Akta Perkawinan, asli dan fotokopi Perjanjian Perkawinan dari Notaris yang dilegalisir, Surat Pernyataan Kedua Pasangan bermeterai, serta Surat Kuasa bermeterai jika diwakilkan.",0.0,0.5,0.0
Apa persyaratan untuk melakukan legalisasi dokumen kependudukan yang belum digital?,"Dengan hormat, saya dapat memberikan informasi tentang persyaratan untuk melakukan legalisasi dokumen kependudukan yang belum digital.

Menurut informasi yang tersedia pada dokumen, persyaratan untuk melakukan legalisasi dokumen kependudukan yang belum digital adalah:

Fotokopi dokumen kependudukan yang akan dilegalisasi.

Saya harap informasi ini dapat membantu Anda. Jika Anda memiliki pertanyaan lain, silakan bertanya.",Fotokopi dokumen kependudukan yang akan dilegalisasi.,1.0,1.0,1.0
Apa saja syarat pelaporan pencatatan pembetulan akta pencatatan sipil?,"Selamat datang! Saya adalah Virtual Assistant resmi Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat pelaporan pencatatan pembetulan akta pencatatan sipil.

Berdasarkan informasi yang tersedia, syarat pelaporan pencatatan pembetulan akta pencatatan sipil adalah sebagai berikut:

1. Fotokopi KK & KTP
2. Asli dan Fotokopi Kutipan Akta Pencatatan Sipil
3. Dokumen Autentik Pendukung Pembetulan Akta Pencatatan Sipil

Permohonan daring dapat diajukan melalui alamat https://alpukat-dukcapil.jakarta.go.id/.","Fotokopi KK & KTP, asli dan fotokopi Kutipan Akta Pencatatan Sipil, serta Dokumen Autentik Pendukung Pembetulan Akta Pencatatan Sipil.",1.0,1.0,1.0
Berapa jangka waktu maksimal pembuatan atau penerbitan KTP-el baru sejak syarat terpenuhi?,"Menurut informasi yang ada dalam Context Dokumen, pembuatan atau penerbitan KTP-el baru harus dilakukan selambat-lambatnya 14 hari sejak syarat terpenuhi.",Selambat-lambatnya 14 hari.,1.0,1.0,1.0
Apa syarat pencatatan kelahiran bagi penduduk orang asing?,"Selamat datang di Dukcapil DKI Jakarta. Saya senang membantu Anda dengan informasi yang akurat.

Untuk syarat pencatatan kelahiran bagi penduduk orang asing, berikut adalah persyaratan yang harus dipenuhi:

1. Surat Keterangan Peristiwa Kelahiran dari Dokter/RS
2. Fotokopi Akta Perkawinan Orang Tua (terjemahan jika dalam bahasa asing)
3. Fotokopi Identitas Orang Tua
 - Kartu Tanda Penduduk (KTP) dan Kartu Keluarga (KK), bagi WNI
 - VISA, bagi WNA Kunjungan
 - SKTT, bagi WNA ITAS
 - Kartu Tanda Penduduk (KTP) dan Kartu Keluarga (KK), bagi WNA ITAP
4. Dokumen Perjalanan/Paspor
5. Identitas 2 Orang Saksi

Bagi orang tua beda kewarganegaraan (non WNI), dilengkapi Surat Pernyataan Pilihan Warga Negara.

Silakan mengunjungi website resmi Dukcapil DKI Jakarta untuk mengajukan permohonan daring melalui link https://s.id/aktawna_dukcapiljkt.","Surat Keterangan Peristiwa Kelahiran dari Dokter/RS, fotokopi Akta Perkawinan Orang Tua (terjemahan jika bahasa asing), fotokopi Identitas Orang Tua (KTP/KK/VISA/SKTT/ITAP), Dokumen Perjalanan/Paspor, serta Identitas 2 Orang Saksi.",0.8,1.0,0.6
